"Equipo","Año","Ronda","Equipo Original","Comentario"
"Boston Celtics",2028,1,"Boston Celtics",""
"Boston Celtics",2028,2,"Boston Celtics",""
"Boston Celtics",2029,1,"Boston Celtics",""
"Boston Celtics",2029,2,"Portland Trail Blazers",""
"Boston Celtics",2030,1,"Boston Celtics",""
"Boston Celtics",2030,2,"Boston Celtics",""
"Brooklyn Nets",2027,2,"Brooklyn Nets",""
"Brooklyn Nets",2027,2,"Minnesota Timberwolves",""
"Brooklyn Nets",2028,1,"Brooklyn Nets","Prohibido tradear"
"Brooklyn Nets",2029,1,"Brooklyn Nets",""
"Brooklyn Nets",2029,2,"Brooklyn Nets",""
"Brooklyn Nets",2030,1,"Brooklyn Nets",""
"Brooklyn Nets",2030,2,"Brooklyn Nets",""
"New York Knicks",2027,1,"New York Knicks",""
"New York Knicks",2028,1,"New York Knicks","Swap con LAC (peor)"
"New York Knicks",2028,2,"Brooklyn Nets",""
"New York Knicks",2029,1,"New York Knicks",""
"New York Knicks",2029,2,"Golden State Warriors",""
"New York Knicks",2030,1,"Denver Nuggets",""
"New York Knicks",2030,1,"New York Knicks",""
"New York Knicks",2030,2,"New York Knicks",""
"Philadelphia 76ers",2027,1,"Philadelphia 76ers",""
"Philadelphia 76ers",2027,1,"Detroit Pistons","Peor con OKL"
"Philadelphia 76ers",2028,1,"Philadelphia 76ers",""
"Philadelphia 76ers",2029,1,"Philadelphia 76ers",""
"Philadelphia 76ers",2029,2,"Philadelphia 76ers",""
"Philadelphia 76ers",2030,1,"Philadelphia 76ers",""
"Philadelphia 76ers",2030,2,"Philadelphia 76ers",""
"Toronto Raptors",2027,1,"Toronto Raptors",""
"Toronto Raptors",2027,2,"Boston Celtics",""
"Toronto Raptors",2027,2,"Toronto Raptors",""
"Toronto Raptors",2028,1,"Toronto Raptors",""
"Toronto Raptors",2028,2,"Toronto Raptors",""
"Toronto Raptors",2029,1,"Toronto Raptors",""
"Toronto Raptors",2030,1,"Toronto Raptors",""
"Toronto Raptors",2030,2,"Toronto Raptors",""
"Chicago Bulls",2027,1,"Chicago Bulls",""
"Chicago Bulls",2027,2,"Chicago Bulls",""
"Chicago Bulls",2027,2,"Detroit Pistons",""
"Chicago Bulls",2028,1,"Chicago Bulls",""
"Chicago Bulls",2028,2,"Chicago Bulls",""
"Chicago Bulls",2028,2,"Memphis Grizzlies",""
"Chicago Bulls",2029,1,"Chicago Bulls",""
"Chicago Bulls",2029,2,"Chicago Bulls",""
"Chicago Bulls",2030,1,"Chicago Bulls",""
"Chicago Bulls",2030,2,"Chicago Bulls",""
"Chicago Bulls",2027,1,"Dallas Mavericks",""
"Chicago Bulls",2027,2,"Cleveland Cavaliers",""
"Chicago Bulls",2028,1,"Cleveland Cavaliers",""
"Chicago Bulls",2028,2,"Cleveland Cavaliers",""
"Chicago Bulls",2029,1,"Cleveland Cavaliers",""
"Chicago Bulls",2030,1,"Cleveland Cavaliers",""
"Chicago Bulls",2030,2,"Cleveland Cavaliers",""
"Detroit Pistons",2028,1,"Detroit Pistons",""
"Detroit Pistons",2029,1,"Detroit Pistons",""
"Detroit Pistons",2029,2,"Detroit Pistons",""
"Detroit Pistons",2030,1,"Detroit Pistons",""
"Detroit Pistons",2030,2,"Detroit Pistons",""
"Indiana Pacers",2027,1,"Indiana Pacers",""
"Indiana Pacers",2027,1,"Houston Rockets",""
"Indiana Pacers",2027,2,"Indiana Pacers",""
"Indiana Pacers",2027,2,"Los Angeles Clippers",""
"Indiana Pacers",2028,1,"Indiana Pacers",""
"Indiana Pacers",2028,2,"Indiana Pacers",""
"Indiana Pacers",2029,1,"Indiana Pacers",""
"Indiana Pacers",2029,2,"Indiana Pacers",""
"Indiana Pacers",2030,1,"Indiana Pacers",""
"Indiana Pacers",2030,2,"Indiana Pacers",""
"Milwaukee Bucks",2027,2,"Golden State Warriors",""
"Milwaukee Bucks",2028,1,"Milwaukee Bucks",""
"Milwaukee Bucks",2028,2,"Houston Rockets",""
"Milwaukee Bucks",2029,1,"Milwaukee Bucks",""
"Milwaukee Bucks",2030,1,"Milwaukee Bucks",""
"Atlanta Hawks",2027,1,"Memphis Grizzlies","Protected-Top4 si no 1a Grizzlies 28"
"Atlanta Hawks",2027,2,"Atlanta Hawks",""
"Atlanta Hawks",2027,2,"Washington Wizards",""
"Atlanta Hawks",2028,1,"Atlanta Hawks",""
"Atlanta Hawks",2028,2,"Atlanta Hawks",""
"Atlanta Hawks",2028,2,"San Antonio Spurs",""
"Atlanta Hawks",2029,2,"Atlanta Hawks",""
"Atlanta Hawks",2029,2,"Denver Nuggets",""
"Atlanta Hawks",2030,1,"Atlanta Hawks",""
"Atlanta Hawks",2030,2,"Atlanta Hawks",""
"Charlotte Hornets",2027,1,"Charlotte Hornets",""
"Charlotte Hornets",2027,2,"New York Knicks",""
"Charlotte Hornets",2027,2,"Orlando Magic",""
"Charlotte Hornets",2027,2,"Milwaukee Bucks",""
"Charlotte Hornets",2027,2,"Denver Nuggets",""
"Charlotte Hornets",2027,2,"Portland Trail Blazers",""
"Charlotte Hornets",2027,2,"Phoenix Suns",""
"Charlotte Hornets",2028,1,"Charlotte Hornets",""
"Charlotte Hornets",2028,1,"Miami Heat",""
"Charlotte Hornets",2028,2,"Golden State Warriors",""
"Charlotte Hornets",2028,2,"Charlotte Hornets",""
"Charlotte Hornets",2028,2,"Detroit Pistons",""
"Charlotte Hornets",2029,1,"Charlotte Hornets",""
"Charlotte Hornets",2029,2,"Houston Rockets",""
"Charlotte Hornets",2029,2,"Charlotte Hornets",""
"Charlotte Hornets",2029,2,"New Orleans Pelicans",""
"Charlotte Hornets",2029,2,"Los Angeles Clippers",""
"Charlotte Hornets",2030,1,"Charlotte Hornets",""
"Charlotte Hornets",2030,2,"Charlotte Hornets",""
"Miami Heat",2027,1,"Miami Heat","Swap con 1a Celtics 27 (peor)"
"Miami Heat",2028,1,"San Antonio Spurs",""
"Miami Heat",2029,1,"Miami Heat",""
"Miami Heat",2029,2,"San Antonio Spurs",""
"Miami Heat",2030,1,"Miami Heat",""
"Miami Heat",2030,2,"Miami Heat",""
"Orlando Magic",2027,1,"Cleveland Cavaliers",""
"Orlando Magic",2027,1,"Orlando Magic",""
"Orlando Magic",2028,1,"Orlando Magic",""
"Orlando Magic",2028,2,"Orlando Magic",""
"Orlando Magic",2029,1,"Orlando Magic",""
"Orlando Magic",2029,2,"Miami Heat",""
"Orlando Magic",2030,1,"Orlando Magic",""
"Orlando Magic",2030,2,"Orlando Magic",""
"Washington Wizards",2027,1,"Washington Wizards",""
